first_pokemon,second_pokemon,winner
Skitty,Shelgon,Shelgon
Ambipom,Magnemite,Ambipom
Alakazam,Goodra,Alakazam
Zubat,Darumaka,Zubat
Charmander,Lampent,Charmander
Xerneas,Slaking,Slaking
Flaaffy,Wormadam Trash Cloak,Flaaffy
Gabite,Stoutland,Gabite
Sealeo,Plusle,Plusle
63,Seedot,63
Dialga,Bibarel,Dialga
Gyarados,Kabuto,Gyarados
Venonat,Hitmonlee,Hitmonlee
Lileep,Dragonair,Dragonair
Steelix,Ninjask,Ninjask
Breloom,Mega Glalie,Mega Glalie
Nuzleaf,Nidoran♀,Nuzleaf
Torkoal,Mr. Mime,Torkoal
Mega Gengar,Lunatone,Mega Gengar
Drapion,Roserade,Drapion
Sawk,Seismitoad,Sawk
Bidoof,Jigglypuff,Bidoof
Trapinch,Phione,Phione
Pelipper,Scyther,Scyther
Vileplume,Aron,Vileplume
Quilava,Pignite,Quilava
Malamar,Seaking,Malamar
Charmeleon,Smeargle,Charmeleon
Larvesta,Aerodactyl,Aerodactyl
Doduo,Spiritomb,Spiritomb
Armaldo,Machop,Armaldo
Camerupt,Ho-oh,Ho-oh
Girafarig,Oddish,Girafarig
Litleo,Delibird,Delibird
Druddigon,Mantine,Mantine
Heat Rotom,Budew,Heat Rotom
Azumarill,Swoobat,Swoobat
Huntail,Gothita,Huntail
Diglett,Oshawott,Oshawott
Venonat,Weezing,Weezing
Archeops,Gyarados,Archeops
Cresselia,Phantump,Cresselia
Anorith,Cresselia,Cresselia
Bagon,Mega Gardevoir,Mega Gardevoir
Kabutops,Pignite,Kabutops
Gardevoir,Tyranitar,Gardevoir
Magnemite,Feebas,Magnemite
Venonat,Raichu,Raichu
Typhlosion,Furfrou,Furfrou
Butterfree,Electrode,Electrode
Mow Rotom,Spewpa,Mow Rotom
Combusken,Seel,Combusken
Minun,Swanna,Swanna
Torterra,Mega Mewtwo Y,Mega Mewtwo Y
Gothitelle,Vullaby,Vullaby
Spewpa,Genesect,Genesect
Nuzleaf,Pumpkaboo Average Size,Nuzleaf
Clefable,Cubone,Clefable
Muk,Ninjask,Muk
Regice,Glalie,Glalie
Stunky,Sealeo,Stunky
Sceptile,Mega Aerodactyl,Mega Aerodactyl
Aerodactyl,Wormadam Trash Cloak,Aerodactyl
Masquerain,Mega Venusaur,Mega Venusaur
Mesprit,Arbok,Arbok
Giratina Altered Forme,Larvitar,Giratina Altered Forme
Swampert,Mega Manectric,Mega Manectric
Heracross,Stantler,Stantler
Castform,Mega Rayquaza,Mega Rayquaza
Dragonair,Pumpkaboo Average Size,Dragonair
Munchlax,Latios,Munchlax
Tyranitar,Moltres,Moltres
Drifloon,Timburr,Drifloon
Darkrai,Buneary,Darkrai
Marill,Gourgeist Average Size,Gourgeist Average Size
Kecleon,Talonflame,Talonflame
Mime Jr.,Ampharos,Mime Jr.
Arbok,Woobat,Arbok
Nidorina,Garchomp,Garchomp
Weavile,Crobat,Crobat
Seaking,Hypno,Seaking
Charmeleon,Venipede,Charmeleon
Pinsir,Nincada,Pinsir
Golem,Mantyke,Mantyke
Boldore,Wash Rotom,Boldore
Pancham,Dugtrio,Dugtrio
Pineco,Braixen,Braixen
Clawitzer,Eelektrik,Clawitzer
Zekrom,Piplup,Zekrom
Fearow,Giratina Altered Forme,Giratina Altered Forme
Pidgeot,Diancie,Pidgeot
Larvesta,Jolteon,Jolteon
Gardevoir,Cinccino,Cinccino
Zapdos,Eelektross,Zapdos
Venomoth,Doublade,Doublade
Weavile,Piplup,Weavile
Amaura,Entei,Entei
Heracross,Mega Lucario,Mega Lucario
Pidgeot,Sigilyph,Pidgeot
Muk,Kingdra,Kingdra
Nosepass,Regigigas,Regigigas
Tangrowth,Squirtle,Tangrowth
Gigalith,Wormadam Trash Cloak,Wormadam Trash Cloak
Phantump,Sharpedo,Sharpedo
Litwick,Snubbull,Snubbull
Sigilyph,Parasect,Sigilyph
Uxie,Genesect,Genesect
Infernape,Remoraid,Infernape
Glaceon,Binacle,Glaceon
Caterpie,Mega Gengar,Mega Gengar
Lileep,Kabuto,Kabuto
Mismagius,Vibrava,Mismagius
Pinsir,Larvesta,Pinsir
Camerupt,Floette,Floette
Mega Heracross,Golett,Golett
Beautifly,Whirlipede,Beautifly
Grimer,Entei,Entei
Fletchling,Pinsir,Pinsir
Seaking,Pangoro,Seaking
Basculin,Krabby,Basculin
Meowth,Emboar,Emboar
Galvantula,Vaporeon,Galvantula
Cofagrigus,Spritzee,Cofagrigus
Gliscor,Spearow,Gliscor
Yveltal,Drifblim,Yveltal
Swablu,Tropius,Tropius
Mega Audino,Boldore,Mega Audino
Mega Abomasnow,Gigalith,Mega Abomasnow
Porygon-Z,Groudon,Groudon
Kadabra,Shieldon,Kadabra
Azelf,Linoone,Azelf
Swalot,Duskull,Swalot
Rufflet,Goldeen,Goldeen
Quagsire,Terrakion,Terrakion
Medicham,Kecleon,Medicham
Gurdurr,Tentacruel,Tentacruel
Gourgeist Average Size,Chatot,Chatot
Primal Groudon,Surskit,Primal Groudon
Spearow,Fletchinder,Fletchinder
Wormadam Plant Cloak,Spheal,Wormadam Plant Cloak
Mega Latios,Garchomp,Mega Latios
Musharna,Tyrantrum,Tyrantrum
63,Graveler,63
Hitmontop,Forretress,Hitmontop
Mega Venusaur,Omanyte,Mega Venusaur
Giratina Origin Forme,Aggron,Giratina Origin Forme
Surskit,Regigigas,Regigigas
Umbreon,Starly,Umbreon
Panpour,Wingull,Wingull
Yanma,Vanillish,Yanma
Doduo,Tyrantrum,Doduo
Hitmonchan,Axew,Hitmonchan
Mr. Mime,Abra,Abra
Stoutland,Snorunt,Stoutland
Vanillite,Wobbuffet,Vanillite
Makuhita,Mewtwo,Mewtwo
Weedle,Mega Mewtwo X,Mega Mewtwo X
Keldeo Resolute Forme,Togepi,Keldeo Resolute Forme
Vileplume,Dugtrio,Vileplume
Slugma,Kricketune,Kricketune
Tranquill,Beartic,Tranquill
Bergmite,Frogadier,Frogadier
Latios,Genesect,Latios
Golem,Mega Lucario,Mega Lucario
Porygon-Z,Moltres,Moltres
Hitmonlee,Diglett,Diglett
Grumpig,Gothita,Grumpig
Venonat,Rotom,Rotom
Wash Rotom,Hoopa Confined,Wash Rotom
Tyrantrum,Noctowl,Tyrantrum
Seel,Delphox,Delphox
Zygarde Half Forme,Monferno,Zygarde Half Forme
Vigoroth,Deoxys Speed Forme,Deoxys Speed Forme
Kirlia,Phanpy,Kirlia
Mega Tyranitar,Wurmple,Mega Tyranitar
Timburr,Scatterbug,Scatterbug
Stoutland,Jirachi,Jirachi
Silcoon,Zigzagoon,Zigzagoon
Dragalge,Scatterbug,Dragalge
Unown,Gastly,Gastly
Beheeyem,Slowbro,Beheeyem
Mega Mewtwo Y,Oddish,Mega Mewtwo Y
Tangela,Sylveon,Sylveon
Miltank,Aerodactyl,Aerodactyl
Mega Steelix,Duosion,Duosion
Vigoroth,Mega Gengar,Mega Gengar
Hypno,Toxicroak,Toxicroak
Roserade,Krookodile,Krookodile
Krabby,Golbat,Golbat
Fennekin,Excadrill,Excadrill
Pignite,Deoxys Defense Forme,Deoxys Defense Forme
Gyarados,Greninja,Greninja
Chatot,Swinub,Chatot
Chatot,Mega Manectric,Mega Manectric
Whiscash,Goldeen,Goldeen
Venusaur,Fletchling,Venusaur
Skorupi,  Farfetch'd  ,Skorupi
Keldeo Ordinary Forme,Onix,Keldeo Ordinary Forme
Gourgeist Super Size,Mega Sceptile,Mega Sceptile
Wormadam Plant Cloak,Butterfree,Butterfree
Deoxys Speed Forme,Lapras,Deoxys Speed Forme
Delphox,Ivysaur,Delphox
Sawsbuck,Heat Rotom,Sawsbuck
Kingdra,Spoink,Kingdra
Mega Aerodactyl,Piplup,Mega Aerodactyl
Kricketot,Mega Beedrill,Mega Beedrill
Altaria,Solrock,Altaria
Mega Medicham,Aurorus,Mega Medicham
Grumpig,Helioptile,Grumpig
Bellossom,Electrode,Bellossom
Kabuto,Barbaracle,Barbaracle
Mega Mewtwo X,Munna,Mega Mewtwo X
Croconaw,Vanilluxe,Vanilluxe
Infernape,Persian,Persian
Krookodile,Staravia,Krookodile
Bergmite,Seadra,Seadra
Croagunk,Mega Latios,Mega Latios
Watchog,Murkrow,Murkrow
Zapdos,Cinccino,Cinccino
Shuppet,Pidgey,Pidgey
Shelgon,Gorebyss,Gorebyss
Sharpedo,Prinplup,Sharpedo
Mega Salamence,Lombre,Mega Salamence
Golem,Purrloin,Purrloin
Mega Houndoom,Beldum,Mega Houndoom
Totodile,Petilil,Totodile
Aurorus,Simisage,Simisage
Vileplume,Drifloon,Drifloon
Budew,Hypno,Hypno
Darkrai,Amaura,Darkrai
Mamoswine,Florges,Mamoswine
Vespiquen,Dragalge,Dragalge
Jolteon,Hoopa Confined,Hoopa Confined
Simisage,Jigglypuff,Simisage
Purrloin,Skiddo,Purrloin
Xatu,Fearow,Fearow
Houndour,Bidoof,Houndour
Abomasnow,Mega Blaziken,Mega Blaziken
Torterra,Ninetales,Ninetales
Yveltal,Spinda,Yveltal
Ampharos,Malamar,Malamar
Shellos,Mega Salamence,Mega Salamence
Garbodor,Mega Mewtwo X,Mega Mewtwo X
Luxray,Avalugg,Luxray
Quagsire,Starly,Starly
Dedenne,Blitzle,Dedenne
Huntail,Persian,Persian
Walrein,Metagross,Metagross
Qwilfish,Accelgor,Accelgor
Spritzee,Ampharos,Ampharos
Musharna,  Grotle  ,  Grotle  
Wooper,Nidoking,Nidoking
Nidoran♂,Meloetta Aria Forme,Meloetta Aria Forme
Kakuna,Burmy,Burmy
Uxie,Gogoat,Uxie
Virizion,Carracosta,Virizion
Huntail,Metang,Huntail
Tangrowth,Magmar,Magmar
Pachirisu,Magnemite,Pachirisu
Toxicroak,Skorupi,Toxicroak
Sewaddle,Vanillite,Vanillite
Wormadam Plant Cloak,Ponyta,Ponyta
Phione,Mamoswine,Mamoswine
Reshiram,Yanmega,Yanmega
Caterpie,Mankey,Mankey
Bunnelby,Hippowdon,Bunnelby
Spinarak,Skarmory,Skarmory
Skiddo,Lickitung,Skiddo
Ekans,Deoxys Defense Forme,Deoxys Defense Forme
Chespin,Simisear,Simisear
Yanma,Mega Lopunny,Mega Lopunny
Gible,Nidoqueen,Nidoqueen
Primal Groudon,Vulpix,Primal Groudon
Sunkern,Mega Swampert,Mega Swampert
Honedge,Mega Abomasnow,Mega Abomasnow
Mesprit,Kabutops,Kabutops
Kabuto,Moltres,Moltres
Flabébé,Kakuna,Flabébé
Spinarak,Pidove,Pidove
Abra,Wingull,Abra
Totodile,Kyurem White Kyurem,Kyurem White Kyurem
Mime Jr.,Marill,Mime Jr.
Druddigon,Carnivine,Druddigon
Ivysaur,Dwebble,Ivysaur
Vivillon,Smeargle,Vivillon
Kadabra,Volcanion,Kadabra
Rhyhorn,Poliwhirl,Poliwhirl
Flabébé,Lilligant,Lilligant
Poliwrath,Glalie,Glalie
Azelf,Keldeo Ordinary Forme,Azelf
Crobat,Mega Ampharos,Crobat
Munna,Meowth,Meowth
Doublade,Ekans,Ekans
Tropius,Duosion,Tropius
Quagsire,Pyroar,Quagsire
Mothim,Durant,Durant
Mega Medicham,Jolteon,Jolteon
Wormadam Plant Cloak,Vanillite,Vanillite
Darumaka,Foongus,Darumaka
Gourgeist Small Size,Ledyba,Gourgeist Small Size
Houndour,Gurdurr,Gurdurr
Fan Rotom,Quilladin,Fan Rotom
Diggersby,Gigalith,Gigalith
Keldeo Resolute Forme,Tentacruel,Keldeo Resolute Forme
Rhyperior,Florges,Rhyperior
Prinplup,Mamoswine,Mamoswine
Croconaw,Mega Salamence,Mega Salamence
Minccino,Groudon,Groudon
Donphan,Mega Diancie,Mega Diancie
Shedinja,Lotad,Shedinja
Combee,Avalugg,Avalugg
Aurorus,Charizard,Charizard
Electrode,Pumpkaboo Large Size,Electrode
Cranidos,Cherrim,Cherrim
Corsola,Fletchinder,Corsola
Bouffalant,Togepi,Bouffalant
Ho-oh,Pidgey,Ho-oh
Flabébé,Bergmite,Flabébé
Lopunny,Gligar,Lopunny
Simisear,Swampert,Simisear
Scraggy,Shaymin Land Forme,Shaymin Land Forme
Braixen,Darmanitan Zen Mode,Braixen
Bulbasaur,Accelgor,Accelgor
Conkeldurr,Starmie,Conkeldurr
Turtwig,Manectric,Manectric
Houndour,Budew,Houndour
Beedrill,Landorus Incarnate Forme,Landorus Incarnate Forme
Mega Salamence,Combusken,Mega Salamence
Mega Gengar,Mega Gyarados,Mega Gengar
Nidoqueen,Mega Medicham,Mega Medicham
Roserade,Ekans,Roserade
Machop,Cubone,Cubone
Corphish,Slowbro,Corphish
Minccino,Pumpkaboo Super Size,Pumpkaboo Super Size
Mienfoo,Avalugg,Mienfoo
Ledian,Helioptile,Ledian
Roggenrola,Lucario,Lucario
Gigalith,Excadrill,Excadrill
Talonflame,Bulbasaur,Talonflame
Mismagius,Gliscor,Mismagius
Spewpa,Beedrill,Beedrill
Minccino,Carvanha,Minccino
Herdier,Swirlix,Herdier
Camerupt,Graveler,Camerupt
Registeel,Pumpkaboo Large Size,Registeel
Latios,Rapidash,Latios
Lilligant,Slowking,Lilligant
Mega Sharpedo,Dratini,Mega Sharpedo
Chansey,Swoobat,Swoobat
Moltres,Weepinbell,Moltres
Mega Glalie,Seismitoad,Mega Glalie
Taillow,Tornadus Therian Forme,Tornadus Therian Forme
Lumineon,Dustox,Lumineon
Clauncher,Golurk,Golurk
Jirachi,Hoppip,Jirachi
Mantyke,Marill,Mantyke
Hypno,Mega Audino,Hypno
Darkrai,Mega Absol,Darkrai
Shroomish,Golbat,Golbat
Tentacruel,Slaking,Slaking
Combee,Hoppip,Combee
Skuntank,Mega Charizard Y,Mega Charizard Y
Cobalion,Oddish,Cobalion
Monferno,Heat Rotom,Heat Rotom
Machop,Bronzor,Machop
Carracosta,Slaking,Slaking
Misdreavus,Joltik,Misdreavus
Horsea,Darmanitan Zen Mode,Horsea
Zorua,Reshiram,Reshiram
Mandibuzz,Aron,Mandibuzz
Wartortle,Masquerain,Masquerain
Stunky,Pidgeotto,Stunky
Eelektrik,Cyndaquil,Cyndaquil
Azelf,Mega Medicham,Azelf
Nidorino,Shiftry,Shiftry
Skrelp,Dragalge,Dragalge
Empoleon,Bulbasaur,Empoleon
  Grotle  ,Pinsir,Pinsir
Cobalion,Turtwig,Cobalion
Paras,Cradily,Cradily
Zapdos,Quilava,Zapdos
Amaura,Corphish,Amaura
Bergmite,Braviary,Braviary
Absol,Smeargle,Smeargle
Mega Gardevoir,Skiddo,Mega Gardevoir
Mega Gallade,Gible,Mega Gallade
Espeon,Mega Pidgeot,Mega Pidgeot
Cloyster,Totodile,Cloyster
Meowth,Porygon2,Meowth
Snubbull,Wurmple,Snubbull
Swablu,Petilil,Swablu
Salamence,Rotom,Salamence
Deerling,Lotad,Deerling
Metapod,Slurpuff,Slurpuff
Ampharos,Carbink,Ampharos
Suicune,Poliwrath,Suicune
Patrat,Honedge,Honedge
Doublade,Houndoom,Houndoom
Mega Gyarados,Krabby,Mega Gyarados
Mega Rayquaza,Gorebyss,Mega Rayquaza
Cranidos,Wingull,Wingull
Azurill,Simisear,Simisear
Blissey,Poliwhirl,Poliwhirl
Landorus Therian Forme,  Grotle  ,Landorus Therian Forme
Beautifly,Eelektross,Beautifly
Mega Heracross,Bidoof,Mega Heracross
Horsea,Garchomp,Garchomp
Donphan,Kingler,Kingler
Abra,Espeon,Espeon
Rhyhorn,Minun,Rhyhorn
Steelix,Totodile,Totodile
Deino,Seel,Seel
Axew,Mega Camerupt,Axew
Salamence,Stantler,Salamence
Flaaffy,Cottonee,Cottonee
Mega Gallade,Sableye,Sableye
Seadra,Geodude,Seadra
Larvesta,Medicham,Medicham
Kyogre,Thundurus Incarnate Forme,Thundurus Incarnate Forme
Deoxys Speed Forme,Glalie,Deoxys Speed Forme
Salamence,Baltoy,Salamence
Blitzle,Groudon,Groudon
Yanmega,Tyranitar,Yanmega
Ralts,Zekrom,Zekrom
Kecleon,Gible,Gible
Emboar,Kadabra,Emboar
Giratina Altered Forme,Porygon,Porygon
Poliwrath,Flygon,Flygon
Axew,Talonflame,Talonflame
Zorua,Caterpie,Zorua
Reuniclus,Plusle,Plusle
Swablu,Jirachi,Jirachi
Gurdurr,Primal Groudon,Primal Groudon
Clawitzer,Probopass,Clawitzer
Glalie,Dragonair,Glalie
Exeggcute,Lampent,Lampent
Girafarig,Flabébé,Girafarig
Shelgon,Deerling,Deerling
Rhyperior,Krabby,Krabby
Scrafty,Litleo,Litleo
Espeon,Goldeen,Espeon
Golurk,Sawsbuck,Sawsbuck
Luvdisc,Latios,Latios
Hippowdon,Rufflet,Rufflet
Heat Rotom,Quagsire,Heat Rotom
Metagross,Tranquill,Metagross
Machoke,Torchic,Torchic
Wormadam Sandy Cloak,Kyurem White Kyurem,Kyurem White Kyurem
Luxio,Mega Charizard X,Mega Charizard X
Baltoy,Ampharos,Ampharos
Cascoon,Snover,Snover
Marshtomp,Lanturn,Marshtomp
Castform,Volcarona,Volcarona
Lombre,Skiddo,Skiddo
Gulpin,Avalugg,Gulpin
Mega Tyranitar,Pichu,Mega Tyranitar
Jigglypuff,Azurill,Azurill
Magnemite,Klefki,Klefki
Omastar,Magcargo,Omastar
Carbink,Elgyem,Carbink
Larvitar,Swellow,Swellow
Swadloon,Crawdaunt,Crawdaunt
Pikachu,Chatot,Chatot
Doduo,Spinarak,Doduo
Swoobat,Dusclops,Swoobat
Lopunny,  Grotle  ,Lopunny
Trapinch,Rayquaza,Rayquaza
Haunter,Pidgey,Pidgey
Pupitar,Spinarak,Pupitar
Mantine,Mega Alakazam,Mega Alakazam
Squirtle,Weedle,Weedle
Electrode,Primal Groudon,Primal Groudon
Delibird,Furret,Furret
Yanma,Pachirisu,Pachirisu
Klefki,Barbaracle,Klefki
Natu,Chesnaught,Natu
Mega Manectric,Electrode,Electrode
Snivy,Staravia,Staravia
Uxie,Graveler,Uxie
Tangela,  Grotle  ,Tangela
Palpitoad,Carracosta,Palpitoad
Salamence,Diglett,Salamence
Burmy,Swellow,Swellow
Arcanine,Vanillite,Arcanine
Roggenrola,Loudred,Loudred
Blissey,Wooper,Wooper
Hitmonchan,Gible,Hitmonchan
Machamp,Glameow,Glameow
Nidoran♂,Wingull,Wingull
Doublade,Alomomola,Alomomola
Roserade,Croconaw,Roserade
Crawdaunt,Mantyke,Crawdaunt
Noibat,Hoppip,Noibat
Darmanitan Zen Mode,Larvitar,Darmanitan Zen Mode
Glameow,Dialga,Dialga
Primal Groudon,Doublade,Primal Groudon
Skitty,Mega Sceptile,Mega Sceptile
Kecleon,Articuno,Articuno
Aron,Sawsbuck,Sawsbuck
Lillipup,Sandslash,Sandslash
Slowpoke,Skorupi,Skorupi
Murkrow,Torterra,Murkrow
Shaymin Land Forme,Klefki,Shaymin Land Forme
Taillow,Camerupt,Taillow
Infernape,Trubbish,Infernape
Yanma,Glalie,Yanma
Blitzle,Eelektross,Blitzle
Paras,Trevenant,Trevenant
Gible,Registeel,Registeel
Magmortar,Unfezant,Unfezant
Wartortle,Sylveon,Sylveon
Froakie,Mega Manectric,Mega Manectric
Mightyena,Vigoroth,Vigoroth
Tentacool,Zoroark,Zoroark
Torterra,Golem,Torterra
Watchog,Venomoth,Venomoth
Vigoroth,Aromatisse,Vigoroth
Houndour,Golurk,Houndour
Larvesta,Slowking,Larvesta
Bellsprout,Herdier,Herdier
Luxray,Pidgey,Luxray
Mr. Mime,Drifloon,Mr. Mime
Hippopotas,Slowking,Hippopotas
Mega Venusaur,Mega Blastoise,Mega Venusaur
Exeggcute,Cleffa,Exeggcute
Nidorino,Magmortar,Magmortar
Seaking,Pelipper,Seaking
Gardevoir,Nidorino,Gardevoir
Aegislash Shield Forme,Conkeldurr,Conkeldurr
Volcarona,Burmy,Volcarona
Zekrom,Shieldon,Zekrom
Gengar,Ralts,Gengar
Spheal,Swinub,Swinub
Nidoqueen,Mega Blastoise,Mega Blastoise
Lucario,Marshtomp,Lucario
Emolga,Happiny,Emolga
Frost Rotom,Igglybuff,Frost Rotom
Jolteon,Igglybuff,Jolteon
Krabby,Raichu,Raichu
Bouffalant,Mega Sharpedo,Mega Sharpedo
Pignite,Azelf,Azelf
Fearow,Ninetales,Ninetales
Torchic,Bayleef,Bayleef
Poochyena,Mega Sableye,Mega Sableye
Karrablast,Foongus,Karrablast
Gothitelle,Absol,Absol
Swablu,Mega Heracross,Mega Heracross
Slowking,Silcoon,Slowking
Simipour,Shuckle,Simipour
Meditite,Aggron,Meditite
Tentacool,Chimecho,Tentacool
Ledian,Clefairy,Ledian
Magmar,Giratina Origin Forme,Magmar
Sunflora,Golurk,Golurk
Minccino,Glameow,Glameow
Purugly,Braviary,Purugly
Blissey,Zubat,Zubat
Slowbro,Persian,Persian
Gothorita,Deino,Deino
Kyurem Black Kyurem,Machoke,Kyurem Black Kyurem
Zweilous,Grovyle,Grovyle
Bronzor,Haunter,Haunter
Skuntank,Klink,Klink
Chesnaught,Garbodor,Garbodor
Camerupt,Hitmontop,Hitmontop
Bronzor,Whirlipede,Whirlipede
Spearow,Hoopa Confined,Hoopa Confined
Venipede,Starmie,Starmie
Medicham,Rotom,Rotom
Nuzleaf,Noctowl,Noctowl
Seedot,Mega Absol,Mega Absol
Magby,Grumpig,Magby
Deoxys Normal Forme,Buneary,Deoxys Normal Forme
Giratina Origin Forme,Regice,Giratina Origin Forme
Croconaw,Steelix,Croconaw
Arcanine,Totodile,Arcanine
Xerneas,Houndour,Xerneas
Dusknoir,Monferno,Monferno
Aerodactyl,Karrablast,Aerodactyl
Carracosta,Omanyte,Omanyte
Zubat,Mega Aggron,Mega Aggron
Vaporeon,Ferrothorn,Ferrothorn
Carvanha,Drowzee,Carvanha
Kyurem Black Kyurem,Panpour,Kyurem Black Kyurem
Swadloon,Bunnelby,Bunnelby
Glaceon,Wormadam Trash Cloak,Glaceon
Swalot,Porygon-Z,Porygon-Z
Pidove,Whiscash,Pidove
Ivysaur,Murkrow,Murkrow
Squirtle,Tympole,Tympole
Froslass,Dragalge,Froslass
DeoxysAttack Forme,Rhyperior,DeoxysAttack Forme
Kirlia,Sealeo,Kirlia
Zapdos,Smoochum,Zapdos
Mega Gallade,Nidoran♂,Mega Gallade
Venonat,Sawk,Sawk
Groudon,Bunnelby,Groudon
Heracross,Aggron,Heracross
Dragonite,Marowak,Dragonite
Persian,Koffing,Persian
Zorua,Gogoat,Gogoat
Mime Jr.,Zekrom,Zekrom
Ledyba,Braviary,Braviary
Seaking,Primal Kyogre,Primal Kyogre
Dragonite,Piplup,Dragonite
Mega Audino,Pupitar,Pupitar
Greninja,Girafarig,Greninja
Reshiram,Clawitzer,Reshiram
Mow Rotom,Mamoswine,Mow Rotom
Hoopa Confined,Axew,Axew
Charmeleon,Zubat,Charmeleon
Mega Latios,Mega Steelix,Mega Latios
Tornadus Incarnate Forme,Talonflame,Talonflame
Pancham,Houndoom,Houndoom
Dedenne,Cranidos,Dedenne
Mightyena,Stunfisk,Mightyena
Dialga,Wingull,Dialga
Wooper,Pawniard,Pawniard
Drapion,Mankey,Drapion
Primal Kyogre,Spewpa,Primal Kyogre
Mega Blaziken,Gliscor,Mega Blaziken
Hitmonchan,Mienfoo,Hitmonchan
Swablu,Stunfisk,Stunfisk
Mega Mawile,Tynamo,Tynamo
Mothim,Combee,Combee
Remoraid,Skitty,Remoraid
Starmie,Mega Manectric,Mega Manectric
Kyurem White Kyurem,Yveltal,Yveltal
Sneasel,Elgyem,Sneasel
Lugia,Hawlucha,Hawlucha
Azumarill,Absol,Absol
Ledian,Wailmer,Ledian
Giratina Origin Forme,Mega Sharpedo,Mega Sharpedo
Eelektrik,Nidorino,Nidorino
Buneary,Clamperl,Buneary
Milotic,Fennekin,Milotic
Walrein,Tranquill,Tranquill
Tangela,Petilil,Tangela
Skorupi,Tangela,Skorupi
